Quality, TestSubject, Precision, Recall, F1 score
Advance, Nirit, 0.0, 0.0, 0.0
ArmsToUpperBody, Nirit, 1.0, 0.5, 0.667
Bind, Nirit, 0.0, 0.0, 0.0
Condense+Enclose, Nirit, 0.0, 0.0, 0.0
Direct, Nirit, 0.0, 0.0, 0.0
Free+Light, Nirit, 1.0, 1.0, 1.0
HeadDrop, Nirit, 0.0, 0.0, 0.0
Jump, Nirit, 0.0, 0.0, 0.0
Passive, Nirit, 0.333, 1.0, 0.5
Retreat, Nirit, 0.0, 0.0, 0.0
Rhythmicity, Nirit, 0.0, 0.0, 0.0
Rotation, Nirit, 0.6, 1.0, 0.75
Sink, Nirit, 0.333, 0.333, 0.333
Spread, Nirit, 1.0, 0.333, 0.5
Strong, Nirit, 0.0, 0.0, 0.0
Sudden, Nirit, 0.0, 0.0, 0.0
Twist+Back, Nirit, 0.0, 0.0, 0.0
Up+Rise, Nirit, 1.0, 0.25, 0.4
Advance, Hila, 0.6, 0.75, 0.667
ArmsToUpperBody, Hila, 1.0, 1.0, 1.0
Bind, Hila, 0.5, 0.4, 0.444
Condense+Enclose, Hila, 0.25, 1.0, 0.4
Direct, Hila, 0.25, 1.0, 0.4
Free+Light, Hila, 0.286, 1.0, 0.444
HeadDrop, Hila, 0.4, 0.667, 0.5
Jump, Hila, 1.0, 1.0, 1.0
Passive, Hila, 0.333, 0.75, 0.462
Retreat, Hila, 0.5, 1.0, 0.667
Rhythmicity, Hila, 0.286, 0.667, 0.4
Rotation, Hila, 1.0, 1.0, 1.0
Sink, Hila, 0.222, 1.0, 0.364
Spread, Hila, 0.6, 0.5, 0.545
Strong, Hila, 0.75, 0.75, 0.75
Sudden, Hila, 0.375, 0.6, 0.462
Twist+Back, Hila, 0.6, 0.75, 0.667
Up+Rise, Hila, 0.5, 0.75, 0.6
Advance, Irena, 0.333, 0.2, 0.25
ArmsToUpperBody, Irena, 0.6, 1.0, 0.75
Bind, Irena, 0.2, 0.667, 0.308
Condense+Enclose, Irena, 0.182, 1.0, 0.308
Direct, Irena, 0.0, 0.0, 0.0
Free+Light, Irena, 0.6, 1.0, 0.75
HeadDrop, Irena, 0.286, 0.5, 0.364
Jump, Irena, 0.667, 0.667, 0.667
Passive, Irena, 0.2, 1.0, 0.333
Retreat, Irena, 0.3, 1.0, 0.462
Rhythmicity, Irena, 0.5, 0.5, 0.5
Rotation, Irena, 0.286, 1.0, 0.444
Sink, Irena, 0.625, 0.833, 0.714
Spread, Irena, 0.75, 0.6, 0.667
Strong, Irena, 0.167, 0.5, 0.25
Sudden, Irena, 0.25, 0.25, 0.25
Twist+Back, Irena, 0.25, 1.0, 0.4
Up+Rise, Irena, 0.6, 0.75, 0.667
